Rank,Word,Part of speech,Frequency,Dispersion
1,the,Article,22038615,0.98
2,be,Verb,12545825,0.97
3,and,Conjunction,10741073,0.99
4,of,Preposition,10343885,0.97
5,a,Article,10144200,0.98
6,in,Preposition,6996437,0.98
7,to,Pronoun,6332195,0.98
8,have,Verb,4303955,0.97
9,to,Preposition,3856916,0.99
10,it,Pronoun,3872477,0.96
11,I,Pronoun,3978265,0.93
12,that,Conjunction,3430996,0.97
13,for,Preposition,3281454,0.98
14,you,Pronoun,3081151,0.92
15,he,Pronoun,2909254,0.94
16,with,Preposition,2683014,0.99
17,on,Preposition,2485306,0.99
18,do,Verb,2573587,0.95
19,say,Verb,1915138,0.95
20,this,Determiner,1885366,0.96
21,they,Pronoun,1865580,0.96
22,at,Preposition,1767638,0.98
23,but,Conjunction,1776767,0.97
24,we,Pronoun,1820935,0.94
25,his,Article,1801708,0.95
26,from,Preposition,1635914,0.99
27,that,Determiner,1712406,0.94
28,not,Adverb,1638830,0.98
29,n't,Adverb,1619007,0.97
30,by,Preposition,1490548,0.96
31,she,Pronoun,1484869,0.91
32,or,Conjunction,1379320,0.97
33,as,Conjunction,1296879,0.98
34,what,Determiner,1181023,0.94
35,go,Verb,1151045,0.93
36,their,Article,1083029,0.97
37,can,Verb,1022775,0.98
38,who,Pronoun,1018283,0.97
39,get,Verb,992596,0.94
40,if,Conjunction,933542,0.97
41,would,Verb,925515,0.97
42,her,Article,969591,0.91
43,all,Determiner,892102,0.98
44,my,Article,919821,0.93
45,make,Verb,857168,0.98
46,about,Preposition,874406,0.96
47,know,Verb,892535,0.93
48,will,Verb,824568,0.97
49,as,Preposition,829018,0.95
50,up,Adverb,795534,0.95
51,one,Measure,768232,0.98
52,time,Noun,764657,0.98
53,there,Exception,784528,0.96
54,year,Noun,769254,0.96
55,so,Adverb,756550,0.95
56,think,Verb,772787,0.91
57,when,Conjunction,678626,0.98
58,which,Determiner,685982,0.96
59,them,Pronoun,677870,0.97
60,some,Determiner,674193,0.98
61,me,Pronoun,709623,0.92
62,people,Noun,691468,0.95
63,take,Verb,670745,0.97
64,out,Adverb,678603,0.96
65,into,Preposition,668172,0.97
66,just,Adverb,677711,0.94
67,see,Verb,663645,0.96
68,him,Pronoun,677707,0.92
69,your,Article,659622,0.94
70,come,Verb,628254,0.95
71,could,Verb,617932,0.96
72,now,Adverb,605997,0.94
73,than,Conjunction,579757,0.97
74,like,Preposition,568850,0.96
75,other,Adjective,547799,0.97
76,how,Adverb,538893,0.97
77,then,Adverb,543977,0.95
78,its,Article,539719,0.96
79,our,Article,525107,0.97
80,two,Measure,511027,0.99
81,more,Adverb,517536,0.97
82,these,Determiner,513864,0.95
83,want,Verb,514972,0.95
84,way,Noun,470401,0.98
85,look,Verb,491707,0.93
86,first,Measure,463566,0.98
87,also,Adverb,464606,0.96
88,new,Adjective,435993,0.97
89,because,Conjunction,438539,0.96
90,day,Noun,432773,0.97
91,more,Determiner,420170,0.97
92,use,Verb,420781,0.96
93,no,Article,402222,0.98
94,man,Noun,409760,0.95
95,find,Verb,395203,0.98
96,here,Adverb,412315,0.93
97,thing,Noun,400724,0.94
98,give,Verb,384503,0.98
99,many,Determiner,385348,0.97
100,well,Adverb,411776,0.91
101,only,Adverb,379574,0.98
102,those,Determiner,378007,0.97
103,tell,Verb,388155,0.94
104,one,Pronoun,369553,0.98
105,very,Adverb,391821,0.92
106,her,Pronoun,397950,0.89
107,even,Adverb,361067,0.98
108,back,Adverb,367844,0.94
109,any,Determiner,348100,0.98
110,good,Adjective,353973,0.96
111,woman,Noun,341422,0.98
112,through,Preposition,340921,0.98
113,us,Pronoun,351088,0.95
114,life,Noun,333085,0.98
115,child,Noun,333849,0.97
116,there,Adverb,333433,0.93
117,work,Verb,318210,0.98
118,down,Adverb,329409,0.94
119,may,Verb,324569,0.95
120,after,Preposition,311902,0.98
121,should,Verb,310265,0.98
122,call,Verb,308050,0.97
123,world,Noun,303506,0.97
124,over,Preposition,300349,0.98
125,school,Noun,304183,0.95
126,still,Adverb,296953,0.97
127,try,Verb,294023,0.96
128,in,Adverb,285035,0.98
129,as,Adverb,281483,0.98
130,last,Measure,289843,0.95
131,ask,Verb,284632,0.96
132,need,Verb,276744,0.98
133,too,Adverb,280396,0.96
134,feel,Verb,275214,0.95
135,three,Measure,266744,0.98
136,when,Adverb,268219,0.97
137,state,Noun,272193,0.94
138,never,Adverb,262584,0.96
139,become,Verb,259102,0.97
140,between,Preposition,264158,0.94
141,high,Adjective,255936,0.96
142,really,Adverb,263414,0.91
143,something,Pronoun,254910,0.94
144,most,Adverb,246360,0.96
145,another,Determiner,240646,0.98
146,much,Determiner,244507,0.97
147,family,Noun,243267,0.97
148,own,Determiner,240452,0.98
149,out,Preposition,242443,0.96
150,leave,Verb,240482,0.96
151,put,Verb,237480,0.96
152,old,Adjective,236577,0.96
153,while,Conjunction,234555,0.97
154,mean,Verb,242198,0.93
155,on,Adverb,236980,0.95
156,keep,Verb,231760,0.96
157,student,Noun,255047,0.88
158,why,Adverb,235442,0.95
159,let,Verb,240300,0.93
160,great,Adjective,225005,0.97
161,same,Determiner,222836,0.98
162,big,Adjective,227169,0.96
163,group,Noun,229435,0.93
164,begin,Verb,218617,0.98
165,seem,Verb,219627,0.97
166,country,Noun,223138,0.95
167,help,Verb,216082,0.98
168,talk,Verb,229429,0.92
169,where,Conjunction,213744,0.98
170,turn,Verb,221392,0.94
171,problem,Noun,217728,0.96
172,every,Article,212739,0.97
173,start,Verb,213952,0.96
174,hand,Noun,225247,0.91
175,might,Verb,209059,0.98
176,American,Adjective,214968,0.95
177,show,Verb,208037,0.98
178,part,Noun,207861,0.98
179,about,Adverb,208550,0.97
180,against,Preposition,204379,0.98
181,place,Noun,202427,0.98
182,over,Adverb,208260,0.95
183,such,Determiner,207065,0.95
184,again,Adverb,206895,0.94
185,few,Determiner,197266,0.97
186,case,Noun,200773,0.95
187,most,Determiner,197086,0.96
188,week,Noun,199268,0.95
189,company,Noun,203345,0.93
190,where,Adverb,194427,0.96
191,system,Noun,200175,0.94
192,each,Determiner,196522,0.95
193,right,Adverb,205250,0.9
194,program,Noun,195985,0.93
195,hear,Verb,196070,0.93
196,so,Conjunction,191893,0.95
197,question,Noun,192070,0.95
198,during,Preposition,190729,0.95
199,work,Noun,187533,0.97
200,play,Verb,188328,0.96
201,government,Noun,191314,0.94
202,run,Verb,187325,0.96
203,small,Adjective,185463,0.97
204,number,Noun,186005,0.96
205,off,Adverb,183854,0.95
206,always,Adverb,179474,0.97
207,move,Verb,179388,0.97
208,like,Verb,182341,0.95
209,night,Noun,184511,0.93
210,live,Verb,176144,0.98
211,Mr,Noun,188555,0.91
212,point,Noun,177481,0.97
213,believe,Verb,178397,0.96
214,hold,Verb,177368,0.97
215,today,Adverb,183724,0.93
216,bring,Verb,174366,0.98
217,happen,Verb,182714,0.93
218,next,Measure,176306,0.96
219,without,Preposition,172448,0.98
220,before,Preposition,172769,0.98
221,large,Adjective,175611,0.96
222,all,Adverb,177317,0.93
223,million,Measure,176895,0.93
224,must,Verb,171043,0.96
225,home,Noun,170527,0.96
226,under,Preposition,164766,0.98
227,water,Noun,167666,0.96
228,room,Noun,172472,0.92
229,write,Verb,161824,0.98
230,mother,Noun,169407,0.93
231,area,Noun,165812,0.95
232,national,Adjective,166359,0.95
233,money,Noun,164794,0.95
234,story,Noun,163582,0.96
235,young,Adjective,160011,0.98
236,fact,Noun,164401,0.95
237,month,Noun,162685,0.96
238,different,Adjective,162411,0.96
239,lot,Noun,169570,0.92
240,right,Noun,163259,0.95
241,study,Noun,174069,0.88
242,book,Noun,154013,0.98
243,eye,Noun,169150,0.89
244,job,Noun,154743,0.96
245,word,Noun,152891,0.97
246,though,Conjunction,152182,0.97
247,business,Noun,154468,0.95
248,issue,Noun,156417,0.94
249,side,Noun,152559,0.96
250,kind,Noun,155032,0.95
251,four,Measure,150646,0.97
252,head,Noun,160131,0.91
253,far,Adverb,148621,0.98
254,black,Adjective,150718,0.96
255,long,Adjective,149050,0.97
256,both,Determiner,146338,0.97
257,little,Adjective,149658,0.94
258,house,Noun,149251,0.94
259,yes,Exclamation,157364,0.89
260,after,Conjunction,142289,0.98
261,since,Conjunction,141264,0.98
262,long,Adverb,142007,0.97
263,provide,Verb,150879,0.91
264,service,Noun,146122,0.94
265,around,Preposition,143766,0.96
266,friend,Noun,142697,0.96
267,important,Adjective,144194,0.95
268,father,Noun,145051,0.93
269,sit,Verb,147185,0.92
270,away,Adverb,144713,0.93
271,until,Conjunction,140819,0.96
272,power,Noun,141357,0.95
273,hour,Noun,138955,0.96
274,game,Noun,146311,0.92
275,often,Adverb,140731,0.95
276,yet,Adverb,135484,0.98
277,line,Noun,135986,0.98
278,political,Adjective,144437,0.92
279,end,Noun,134104,0.98
280,among,Preposition,138192,0.94
281,ever,Adverb,135774,0.96
282,stand,Verb,140937,0.92
283,bad,Adjective,134910,0.96
284,lose,Verb,134102,0.97
285,however,Adverb,142282,0.91
